Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,Molecule,Canonical SMILES,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility,
 Curcuma longa,"(E,E,E)-2-(4,8-Dimethyl-10-oxo-3,7-cyclodecadien-1-ylidene)-propanal",O=C/C(=C/1\CC=C(C)CCC=C(CC1=O)C)/C,C15H24,232.32,17,0,0.47,1,2,0,71.08,34.14,2.45,2.09,3.54,2.36,3.62,2.81,-2.53,6.84E-01,2.94E-03,Soluble,-2.44,8.49E-01,3.66E-03,Soluble,-3.2,1.46E-01,6.28E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.23,0,0,0,0,0,0.55,0,3,1,3.84
 Curcuma longa,delta-Elemene,C=C[C@@]1(C)CCC(=C[C@@H]1C(=C)C)C(C)C,C15H24,204.35,15,0,0.6,3,0,0,70.42,0,3.43,5.27,4.75,4.53,4.48,4.49,-4.23,1.21E-02,5.90E-05,Moderately soluble,-5.02,1.95E-03,9.55E-06,Moderately soluble,-3.55,5.73E-02,2.81E-04,Soluble,Low,No,No,No,Yes,Yes,No,No,-3.8,1,0,0,0,2,0.55,0,1,2,4.25
 Curcuma longa,gamma-Elemene,C=C[C@@]1(C)CCC(=C(C)C)C[C@@H]1C(=C)C,C15H24,204.35,15,0,0.6,2,0,0,70.42,0,3.4,5.35,4.89,4.53,4.61,4.56,-4.35,9.22E-03,4.51E-05,Moderately soluble,-5.1,1.61E-03,7.89E-06,Moderately soluble,-3.78,3.38E-02,1.65E-04,Soluble,Low,No,No,No,Yes,Yes,No,No,-3.75,1,0,0,0,2,0.55,0,1,2,3.81
 Curcuma longa,alpha-Elemene,C=C[C@]1(C)CCC(=C(C)C)C=C1C(C)C,C15H24,204.35,15,0,0.6,2,0,0,70.42,0,3.46,5,4.89,4.53,4.59,4.5,-4.12,1.53E-02,7.50E-05,Moderately soluble,-4.74,3.72E-03,1.82E-05,Moderately soluble,-3.75,3.61E-02,1.77E-04,Soluble,Low,No,No,No,No,Yes,No,No,-4,1,0,0,0,1,0.55,0,1,2,4.26
 Curcuma longa,(-)-Isocaryophyllene,CC1=CCCC(=C)[C@@H]2[C@@H](CC1)C(C2)(C)C,C15H24O,204.35,15,0,0.73,0,0,0,68.78,0,3.29,4.38,4.73,4.63,4.19,4.24,-3.87,2.78E-02,1.36E-04,Soluble,-4.1,1.64E-02,8.01E-05,Moderately soluble,-3.77,3.49E-02,1.71E-04,Soluble,Low,No,No,No,Yes,Yes,No,No,-4.44,1,0,0,0,1,0.55,0,1,2,4.51
 Curcuma longa,beta-Caryophyllene oxide,C=C1CC[C@H]2O[C@@]2(CC[C@@H]2[C@@H]1CC2(C)C)C,C15H22O2,220.35,16,0,0.87,0,1,0,68.27,12.53,3.15,3.56,3.94,3.67,4.07,3.68,-3.45,7.84E-02,3.56E-04,Soluble,-3.51,6.83E-02,3.10E-04,Soluble,-3.51,6.81E-02,3.09E-04,Soluble,High,Yes,No,No,Yes,Yes,No,No,-5.12,0,0,0,0,1,0.55,0,2,2,4.35
 Curcuma longa,Curcumenol,CC(=C1C[C@]23O[C@]1(O)C=C([C@@H]3CC[C@@H]2C)C)C,C15H22O3,234.33,17,0,0.73,0,2,1,69.25,29.46,3.12,2.24,3.18,3.04,2.96,2.91,-2.7,4.63E-01,1.98E-03,Soluble,-2.49,7.51E-01,3.20E-03,Soluble,-2.67,5.03E-01,2.15E-03,Soluble,High,Yes,No,No,No,Yes,No,No,-6.14,0,0,0,0,0,0.55,0,1,1,5.73
 Curcuma longa,Procurcumadiol,CC1=CC(=O)C(=C(C)C)C[C@]2([C@H]1CC[C@]2(C)O)O,C15H24O3,250.33,18,0,0.67,0,3,2,71.64,57.53,2.31,1.28,2.13,1.66,2.52,1.98,-2.2,1.59E+00,6.33E-03,Soluble,-2.09,2.05E+00,8.17E-03,Soluble,-2.48,8.35E-01,3.33E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.92,0,0,0,0,0,0.55,0,1,0,4.3
 Curcuma longa,Zedoarondiol,CC(=C1C[C@H]2[C@H]([C@@](CC1=O)(C)O)CC[C@@]2(C)O)C,C15H24,252.35,18,0,0.8,0,3,2,72.12,57.53,2.36,1.6,2.21,1.75,2.54,2.09,-2.41,9.76E-01,3.87E-03,Soluble,-2.42,9.60E-01,3.80E-03,Soluble,-2.5,8.07E-01,3.20E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.7,0,0,0,0,0,0.55,0,1,0,4.13
 Curcuma longa,beta-Guaiene,CC(=C1CC[C@@H](C2=C(C1)[C@@H](C)CC2)C)C,C15H24,204.35,15,0,0.73,0,0,0,69.04,0,3.37,4.07,4.87,4.63,4.25,4.24,-3.67,4.36E-02,2.13E-04,Soluble,-3.77,3.43E-02,1.68E-04,Soluble,-3.75,3.63E-02,1.78E-04,Soluble,Low,No,No,No,Yes,Yes,No,No,-4.66,1,0,0,0,1,0.55,0,1,2,4.45
 Curcuma longa,alpha-Guaiene,CC(=C)[C@@H]1CC[C@@H](C2=C(C1)[C@@H](C)CC2)C,C15H22O2,204.35,15,0,0.73,1,0,0,69.04,0,3.41,4.58,4.73,4.63,4.14,4.3,-3.93,2.42E-02,1.18E-04,Soluble,-4.3,1.02E-02,4.97E-05,Moderately soluble,-3.55,5.79E-02,2.83E-04,Soluble,Low,No,No,No,Yes,Yes,No,No,-4.29,1,0,0,0,1,0.55,0,1,2,4.74
 Curcuma longa,Procurcumenol,CC1=CC(=O)C(=C(C)C)C[C@H]2[C@H]1CC[C@]2(C)O,C15H24,234.33,17,0,0.67,0,2,1,70.44,37.3,2.56,2.34,3.02,2.54,3.02,2.7,-2.77,4.01E-01,1.71E-03,Soluble,-2.76,4.05E-01,1.73E-03,Soluble,-2.83,3.43E-01,1.46E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.07,0,0,0,0,0,0.55,0,1,1,4.04
 Curcuma longa,alpha-Himachalene,CC1=C[C@@H]2[C@@H](CC1)C(=C)CCCC2(C)C,C15H24,204.35,15,0,0.73,0,0,0,68.78,0,3.24,4.46,4.73,4.63,4.19,4.25,-3.92,2.48E-02,1.21E-04,Soluble,-4.18,1.35E-02,6.62E-05,Moderately soluble,-3.77,3.49E-02,1.71E-04,Soluble,Low,No,No,No,Yes,Yes,No,No,-4.38,1,0,0,0,1,0.55,0,1,2,4.15
 Curcuma longa,Di-epi-alpha-cedrene,CC1=CC[C@]23C[C@H]1C(C)(C)[C@@H]2CC[C@H]3C,C15H24,204.35,15,0,0.87,0,0,0,66.88,0,3.2,4.62,4.42,5.65,3.91,4.36,-4.02,1.96E-02,9.60E-05,Moderately soluble,-4.35,9.23E-03,4.51E-05,Moderately soluble,-3.52,6.19E-02,3.03E-04,Soluble,Low,No,No,No,Yes,Yes,No,No,-4.27,1,0,0,0,1,0.55,0,1,2,5.53
 Curcuma longa,(Z)-Farnesene,C=CC(=C)CC/C=C(\CCC=C(C)C)/C,C10H18O,204.35,15,0,0.47,7,0,0,72.32,0,3.86,6.03,5.2,4.84,4.93,4.97,-4.44,7.35E-03,3.60E-05,Moderately soluble,-5.81,3.18E-04,1.55E-06,Moderately soluble,-3.74,3.73E-02,1.82E-04,Soluble,Low,No,No,Yes,No,Yes,No,No,-3.27,1,0,0,0,2,0.55,0,2,2,3.42
 Curcuma longa,Terpin-1-en-4-ol,CC1=CC[C@](CC1)(O)C(C)C,C15H24,154.25,11,0,0.8,1,1,1,48.8,20.23,2.56,3.26,2.5,2.3,2.44,2.61,-2.78,2.54E-01,1.64E-03,Soluble,-3.36,6.75E-02,4.38E-04,Soluble,-1.91,1.92E+00,1.24E-02,Soluble,High,Yes,No,No,No,No,No,No,-4.93,0,1,0,0,2,0.55,0,1,1,3.28
 Curcuma longa,alpha-Selinene,CC1=CCC[C@]2([C@H]1C[C@@H](CC2)C(=C)C)C,C10H18O,204.35,15,0,0.73,1,0,0,68.78,0,3.31,5.2,4.73,4.63,4.14,4.4,-4.32,9.85E-03,4.82E-05,Moderately soluble,-4.95,2.31E-03,1.13E-05,Moderately soluble,-3.55,5.79E-02,2.83E-04,Soluble,Low,No,No,No,Yes,Yes,No,No,-3.85,1,0,0,0,2,0.55,0,1,2,4.22
 Curcuma longa,alpha-Terpineol,CC1=CC[C@H](CC1)C(O)(C)C,C15H26O,154.25,11,0,0.8,1,1,1,48.8,20.23,2.09,3.39,2.5,2.3,2.17,2.49,-2.87,2.10E-01,1.36E-03,Soluble,-3.49,4.95E-02,3.21E-04,Soluble,-1.69,3.17E+00,2.06E-02,Soluble,High,Yes,No,No,No,No,No,No,-4.83,0,1,0,0,2,0.55,0,1,1,3.24
 Curcuma longa,alpha-Bisabolol,CC(=CCC[C@]([C@@H]1CCC(=CC1)C)(O)C)C,C15H22O,222.37,16,0,0.73,4,1,1,72.36,20.23,3.46,3.79,4.23,3.56,3.74,3.76,-3.34,1.01E-01,4.55E-04,Soluble,-3.91,2.74E-02,1.23E-04,Soluble,-3,2.24E-01,1.01E-03,Soluble,High,Yes,No,No,No,Yes,No,No,-4.97,0,0,0,0,1,0.55,0,1,2,3.95
 Curcuma longa,Bisacumol,CC(=C[C@@H](C[C@@H](c1ccc(cc1)C)C)O)C,C15H22O2,218.33,16,6,0.47,4,1,1,70.71,20.23,3.23,4.08,3.82,3.76,4.05,3.79,-3.78,3.64E-02,1.67E-04,Soluble,-4.21,1.35E-02,6.17E-05,Moderately soluble,-3.97,2.34E-02,1.07E-04,Soluble,High,Yes,Yes,No,No,No,Yes,No,-4.74,0,0,0,0,1,0.55,0,1,2,2.63
 Curcuma longa,Curcumenone,CC(=O)CC[C@H]1[C@H]2[C@]1(C)CC(=C(C)C)C(=O)C2,C26H43NO6,234.33,17,0,0.73,3,2,0,69.66,34.14,2.82,2.41,3.31,2.54,3.81,2.98,-2.61,5.71E-01,2.44E-03,Soluble,-2.77,3.99E-01,1.70E-03,Soluble,-3.58,6.16E-02,2.63E-04,Soluble,High,Yes,No,No,No,No,No,No,-6.02,0,0,0,0,0,0.55,0,1,1,3.66
 Curcuma longa,Glycocholic acid,O[C@@H]1CC[C@]2([C@@H](C1)C[C@H]([C@@H]1[C@@H]2C[C@H](O)[C@]2([C@H]1CC[C@@H]2[C@@H](CCC(=O)NCC(=O)O)C)C)O)C,C15H22O2,465.62,33,0,0.92,7,6,5,126.38,127.09,2.65,1.65,2.56,2.15,2.12,2.23,-3.3,2.31E-01,4.96E-04,Soluble,-3.93,5.44E-02,1.17E-04,Soluble,-2.66,1.02E+00,2.18E-03,Soluble,High,No,Yes,No,No,No,No,Yes,-7.97,0,1,0,0,0,0.56,0,0,1,5.11
 Curcuma longa,Isoprocurcumenol,C=C1CC(=O)C(=C(C)C)C[C@H]2[C@H]1CC[C@]2(C)O,C11H22O,234.33,17,0,0.67,0,2,1,70.44,37.3,2.6,2.26,3.02,2.54,3.31,2.75,-2.72,4.50E-01,1.92E-03,Soluble,-2.68,4.90E-01,2.09E-03,Soluble,-3.08,1.94E-01,8.26E-04,Soluble,High,Yes,No,No,No,No,No,No,-6.12,0,0,0,0,0,0.55,0,2,1,3.89
 Curcuma longa,2-Undecanone,CCCCCCCCCC(=O)C,C15H24O2,170.29,12,0,0.91,8,1,0,55.19,17.07,3.01,4.09,3.72,2.99,3.61,3.48,-2.94,1.94E-01,1.14E-03,Soluble,-4.15,1.19E-02,7.02E-05,Moderately soluble,-3.83,2.49E-02,1.46E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-4.43,0,0,0,0,2,0.55,0,0,3,1.72
 Curcuma longa,Neocurdione,CC1=CCC[C@H](C)C(=O)C[C@@H](C(=O)C1)C(C)C,C15H20O2,236.35,17,0,0.73,1,2,0,72.03,34.14,2.72,2.65,3.55,2.54,3.51,2.99,-2.91,2.92E-01,1.23E-03,Soluble,-3.02,2.27E-01,9.59E-04,Soluble,-3.33,1.09E-01,4.62E-04,Soluble,High,Yes,No,No,No,No,No,No,-5.86,0,0,0,0,0,0.55,0,1,1,4.44
 Curcuma longa,Turmeronol B,CC(=CC(=O)C[C@@H](c1ccc(cc1O)C)C)C,C19H16O4,232.32,17,6,0.4,4,2,1,71.77,37.3,2.71,3.86,3.73,3.02,3.91,3.45,-3.71,4.54E-02,1.95E-04,Soluble,-4.34,1.06E-02,4.57E-05,Moderately soluble,-3.87,3.13E-02,1.35E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-4.98,0,0,0,0,0,0.55,0,1,2,2.54
 Curcuma longa,bis-(4-hydroxycinnamoyl)methane,O=C(CC(=O)/C=C/c1ccc(cc1)O)/C=C/c1ccc(cc1)O,C19H16O4,308.33,23,12,0.05,6,4,2,89.82,74.6,1.75,3.26,3.13,2.13,3.87,2.83,-3.8,4.94E-02,1.60E-04,Soluble,-4.5,9.73E-03,3.16E-05,Moderately soluble,-4.23,1.81E-02,5.86E-05,Moderately soluble,High,Yes,No,Yes,No,Yes,No,Yes,-5.87,0,0,0,0,0,0.55,0,2,0,2.59
 Curcuma longa,(Z)-alpha-bisabolene,O=C(CC(=O)/C=C/c1ccc(cc1)O)/C=C/c1ccc(cc1)O,C19H16O4,308.33,23,12,0.05,6,4,2,89.82,74.6,1.75,3.26,3.13,2.13,3.87,2.83,-3.8,4.94E-02,1.60E-04,Soluble,-4.5,9.73E-03,3.16E-05,Moderately soluble,-4.23,1.81E-02,5.86E-05,Moderately soluble,High,Yes,No,Yes,No,Yes,No,Yes,-5.87,0,0,0,0,0,0.55,0,2,0,2.59
 Curcuma longa,Demethoxycurcumin,O=C(CC(=O)/C=C/c1ccc(cc1)O)/C=C/c1ccc(cc1)O,C21H20O7,308.33,23,12,0.05,6,4,2,89.82,74.6,1.75,3.26,3.13,2.13,3.87,2.83,-3.8,4.94E-02,1.60E-04,Soluble,-4.5,9.73E-03,3.16E-05,Moderately soluble,-4.23,1.81E-02,5.86E-05,Moderately soluble,High,Yes,No,Yes,No,Yes,No,Yes,-5.87,0,0,0,0,0,0.55,0,2,0,2.59
 Curcuma longa,Octadecanamide,COc1cc(/C=C/C(=O)OCC(=O)/C=C/c2ccc(c(c2)OC)O)ccc1O,C15H24,384.38,28,12,0.14,9,7,2,103.89,102.29,3.33,3.27,2.74,1.49,3.59,2.88,-4.01,3.79E-02,9.85E-05,Moderately soluble,-5.09,3.11E-03,8.08E-06,Moderately soluble,-4.18,2.55E-02,6.64E-05,Moderately soluble,High,No,No,No,No,Yes,No,Yes,-6.32,0,0,0,0,0,0.55,0,1,2,3.24
 Curcuma longa,Bisdemethoxycurcumin,CC(=CCCC1(C)C2CCC(=C)C1C2)C,C21H22O4,204.35,15,0,0.73,3,0,0,68.78,0,3.52,6.13,4.73,4.63,4.55,4.71,-4.77,3.46E-03,1.69E-05,Moderately soluble,-5.91,2.50E-04,1.22E-06,Moderately soluble,-3.8,3.24E-02,1.58E-04,Soluble,Low,No,No,No,Yes,Yes,No,No,-3.19,1,0,0,0,2,0.55,0,1,2,4.68
 Curcuma longa,Letestuianin A,COc1ccc(cc1)CCC(=O)/C=C(/C=C/c1ccc(cc1)OC)\O,C15H24O2,338.4,25,12,0.19,8,4,1,99.34,55.76,3.78,4.5,4.25,2.65,4.66,3.97,-4.6,8.50E-03,2.51E-05,Moderately soluble,-5.39,1.37E-03,4.06E-06,Moderately soluble,-5.5,1.07E-03,3.16E-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-5.17,0,0,0,0,0,0.85,0,3,2,3.04
 Curcuma longa,Letestuianin B,CC1=CC(=O)[C@H](CC1)[C@H](CCC1OC1(C)C)C,C15H26O3,236.35,17,0,0.8,4,2,0,70.84,29.6,3.22,3.34,3.51,2.63,4.17,3.37,-3.15,1.69E-01,7.15E-04,Soluble,-3.64,5.43E-02,2.30E-04,Soluble,-3.42,8.99E-02,3.80E-04,Soluble,High,Yes,No,No,No,No,No,No,-5.37,0,0,0,0,0,0.55,0,1,1,3.93
 Curcuma longa,Calebin A,C[C@H]([C@@H]1C=C[C@]([C@H](C1)O)(C)O)C/C=C/C(O)(C)C,C15H24O2,254.37,18,0,0.73,4,3,3,74.72,60.69,2.87,1.46,2.03,1.75,1.97,2.02,-2.07,2.15E+00,8.46E-03,Soluble,-2.34,1.16E+00,4.56E-03,Soluble,-1.03,2.39E+01,9.40E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.82,0,0,0,0,0,0.55,0,1,0,4.57
 Curcuma longa,Isoborneol,CC1=CC(=O)[C@H](CC1)[C@H](C/C=C/C(O)(C)C)C,C15H24O2,236.35,17,0,0.67,4,2,1,72.56,37.3,2.9,2.99,3.27,2.54,3.44,3.03,-2.93,2.81E-01,1.19E-03,Soluble,-3.44,8.64E-02,3.65E-04,Soluble,-2.53,6.99E-01,2.96E-03,Soluble,High,Yes,No,No,No,No,No,No,-5.62,0,0,0,0,0,0.55,0,1,1,3.89
 Curcuma longa, Bergamotene,CC1=CC(=O)[C@@H](CC1)[C@H](C/C=C/C(O)(C)C)C,C21H20O6,236.35,17,0,0.67,4,2,1,72.56,37.3,2.74,2.99,3.27,2.54,3.44,2.99,-2.93,2.81E-01,1.19E-03,Soluble,-3.44,8.64E-02,3.65E-04,Soluble,-2.53,6.99E-01,2.96E-03,Soluble,High,Yes,No,No,No,No,No,No,-5.62,0,0,0,0,0,0.55,0,1,1,3.89
 Curcuma longa,"1,7-Bis(4-hydroxyphenyl)-1-heptene-3,5-dione",COc1cc(/C=C/C2=CC(=O)CC(O2)c2ccc(c(c2)OC)O)ccc1O,C19H16O4,368.38,27,12,0.19,5,6,2,100.78,85.22,3.12,3,3.31,1.16,3.5,2.82,-4.01,3.58E-02,9.71E-05,Moderately soluble,-4.45,1.30E-02,3.52E-05,Moderately soluble,-4.59,9.36E-03,2.54E-05,Moderately soluble,High,No,No,No,No,Yes,No,Yes,-6.42,0,0,0,0,0,0.56,0,0,1,4.21
 Curcuma longa,Curculonone C,Oc1ccc(cc1)/C=C/C1=CC(=O)CC(O1)c1ccc(cc1)O,C15H26O,308.33,23,12,0.11,3,4,2,87.8,66.76,2.4,3.06,3.29,1.81,3.4,2.79,-3.87,4.18E-02,1.36E-04,Soluble,-4.13,2.29E-02,7.44E-05,Moderately soluble,-4.38,1.29E-02,4.20E-05,Moderately soluble,High,Yes,No,No,No,Yes,No,No,-6.01,0,0,0,0,0,0.85,0,0,0,3.88
 Curcuma longa,Curculonone D,CC1CC2(CC3C1CCC(O2)(C3)C)C(C)C,C21H24O6,222.37,16,0,1,1,1,0,69.04,9.23,3.26,3.96,4.02,3.81,3.76,3.76,-3.65,5.01E-02,2.25E-04,Soluble,-3.85,3.11E-02,1.40E-04,Soluble,-3.28,1.17E-01,5.25E-04,Soluble,High,Yes,No,No,No,No,No,No,-4.84,0,0,0,0,1,0.55,0,0,2,4.55
 Curcuma longa,Curculonone A,COC1=CC(/C=C/C(=O)CC(=O)/C=C/c2ccc(c(c2)OC)O)CCC1O,C21H22O7,372.41,27,6,0.33,8,6,2,102.32,93.06,3.46,2.16,2.69,0.7,3.3,2.46,-3.15,2.66E-01,7.14E-04,Soluble,-3.75,6.67E-02,1.79E-04,Soluble,-2.89,4.84E-01,1.30E-03,Soluble,High,No,Yes,Yes,No,No,No,No,-7.04,0,0,0,0,0,0.55,0,2,2,4.24
 Curcuma longa,Curculonone B,COc1cc(/C=C/C(=O)CC(=O)CC(c2ccc(c(c2)OC)O)O)ccc1O,C19H18O5,386.4,28,12,0.24,9,7,3,103.65,113.29,3,1.9,2.35,0.75,3.45,2.29,-3.16,2.70E-01,6.99E-04,Soluble,-3.9,4.84E-02,1.25E-04,Soluble,-4.22,2.31E-02,5.97E-05,Moderately soluble,High,No,No,No,No,Yes,No,Yes,-7.31,0,0,0,0,0,0.55,0,2,2,3.63
 Curcuma longa,Cyclocurcumin,Oc1ccc(cc1)/C=C/C(=O)CC(=O)CC(c1ccc(cc1)O)O,C15H22O,326.34,24,12,0.16,7,5,3,90.66,94.83,1.61,1.95,2.33,1.37,3.28,2.11,-3,3.26E-01,1.00E-03,Soluble,-3.57,8.86E-02,2.72E-04,Soluble,-4.01,3.19E-02,9.77E-05,Moderately soluble,High,No,No,Yes,No,No,No,Yes,-6.91,0,0,0,0,0,0.55,0,2,0,3.15
 Curcuma longa,Didemethoxycyclocurcumin,OC/C(=C/CC[C@@H](c1ccc(cc1)C)C)/C,C11H24O,218.33,16,6,0.47,5,1,1,70.71,20.23,3.21,4.13,3.82,3.76,4.22,3.83,-3.74,3.95E-02,1.81E-04,Soluble,-4.26,1.20E-02,5.47E-05,Moderately soluble,-4.34,9.89E-03,4.53E-05,Moderately soluble,High,Yes,No,No,No,No,Yes,No,-4.7,0,0,0,0,1,0.55,0,1,2,2.46
 Curcuma longa,Curcumin L,CCCCCCCCCC(O)C,C15H24O,172.31,12,0,1,8,1,1,56.15,20.23,3.25,4.52,3.51,3.13,3.28,3.54,-3.23,1.02E-01,5.92E-04,Soluble,-4.67,3.71E-03,2.16E-05,Moderately soluble,-3.36,7.50E-02,4.36E-04,Soluble,High,Yes,No,No,No,No,No,No,-4.14,0,0,0,0,2,0.55,0,0,3,2.2
 Curcuma longa,"1,7-Bis(4-hydroxy-3-methoxyphenyl)-3,5-heptanedione",OC[C@]1(C)[C@H]2C[C@@]3([C@H]1CC[C@H]3C)CC=C2C,C15H24O,220.35,16,0,0.87,1,1,1,68.04,20.23,2.94,3.39,3.39,3.67,3.27,3.33,-3.28,1.17E-01,5.30E-04,Soluble,-3.49,7.07E-02,3.21E-04,Soluble,-2.96,2.39E-01,1.09E-03,Soluble,High,Yes,No,No,No,Yes,No,No,-5.24,0,0,0,0,1,0.55,0,1,1,5.44
 Curcuma longa,"1,5-Dihydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)-4,6-heptadien-3-one",C[C@@H]1CC[C@@H]2[C@@H]1[C@H]1[C@H](C1(C)C)CC[C@@]12OC1,C27H46O4S,220.35,16,0,1,0,1,0,66.63,12.53,3.16,3.68,3.48,3.81,3.57,3.54,-3.52,6.58E-02,2.99E-04,Soluble,-3.63,5.13E-02,2.33E-04,Soluble,-2.93,2.57E-01,1.16E-03,Soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.03,0,0,0,0,1,0.55,0,1,2,4.03
 Curcuma longa,"1,5-Dihydroxy-1,7-bis(4-hydroxyphenyl)-4,6-heptadien-3-one",CC(CCC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)OS(=O)(=O)O)C)C,C15H26,466.72,32,0,0.93,7,4,1,134.07,71.98,4.18,8.16,8.3,5.51,4.79,6.19,-7.41,1.81E-05,3.87E-08,Poorly soluble,-9.53,1.38E-07,2.95E-10,Poorly soluble,-5.37,2.00E-03,4.30E-06,Moderately soluble,Low,No,No,No,No,Yes,No,No,-3.35,1,3,0,1,1,0.85,0,2,2,6.36
 Curcuma longa,(E)-Nuciferol,C[C@H]1CC[C@H]2[C@@H]1[C@H]1[C@H](C1(C)C)CC[C@@H]2C,C26H45NO6S,206.37,15,0,1,0,0,0,67.62,0,3.36,5.52,4.35,5.8,3.53,4.51,-4.6,5.22E-03,2.53E-05,Moderately soluble,-5.28,1.08E-03,5.26E-06,Moderately soluble,-3.09,1.69E-01,8.17E-04,Soluble,Low,No,No,Yes,Yes,Yes,No,No,-3.64,1,0,0,0,2,0.55,0,0,2,3.78
 Curcuma longa,2-Undecanol,O[C@@H]1CC[C@]2([C@@H](C1)C[C@@H]([C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2[C@@H](CCC(=O)NCCS(=O)(=O)O)C)C)O)C,C15H24O,499.7,34,0,0.96,8,6,4,133.98,132.31,2.53,1.72,4.48,2.86,2.32,2.78,-3.49,1.60E-01,3.21E-04,Soluble,-4.11,3.84E-02,7.68E-05,Moderately soluble,-3.81,7.72E-02,1.55E-04,Soluble,Low,No,Yes,No,No,No,No,Yes,-8.13,0,3,0,1,0,0.56,0,1,2,5.83
 Curcuma longa,8-Cedren-13-ol,CC(=CCC=C([C@H]1CC[C@]2([C@@H](C1)O2)C)C)C,C11H14N2O2,220.35,16,0,0.73,3,1,0,70.17,12.53,3.6,4.99,4.25,3.56,4.24,4.13,-4.15,1.55E-02,7.05E-05,Moderately soluble,-4.99,2.24E-03,1.02E-05,Moderately soluble,-2.95,2.48E-01,1.12E-03,Soluble,High,Yes,No,No,Yes,Yes,No,No,-4.1,0,0,0,0,1,0.55,0,2,2,3.98
 F. muell,Vasicol,O=C1[C@@H](O)CCN1Cc1ccccc1N,C21H23NO6,206.24,15,6,0.36,2,2,2,61.1,66.56,1.64,0.05,-0.16,0.32,0.68,0.5,-1.31,1.00E+01,4.85E-02,Very soluble,-1,2.06E+01,9.98E-02,Very soluble,-1.98,2.17E+00,1.05E-02,Soluble,High,No,No,No,No,No,No,No,-7.52,0,0,0,0,0,0.55,0,1,1,1.86
 F. muell,N-Formyl-N-deacetylcolchicine,O=CN[C@@H]1CCc2c(c3c1cc(=O)c(cc3)OC)c(OC)c(c(c2)OC)OC,C21H20O11,385.41,28,13,0.33,6,6,1,104.94,83.09,2.84,1.04,2.16,1.21,3.66,2.18,-2.83,5.67E-01,1.47E-03,Soluble,-2.38,1.62E+00,4.21E-03,Soluble,-6.28,2.00E-04,5.20E-07,Poorly soluble,High,No,Yes,No,No,No,Yes,Yes,-7.91,0,0,0,0,0,0.55,0,1,1,3.78
F. muell,Cynaroside,OC[C@H]1O[C@@H](Oc2cc(O)c3c(c2)oc(cc3=O)c2ccc(c(c2)O)O)[C@@H]([C@H]([C@@H]1O)O)O,C22H25NO6,448.38,32,16,0.29,4,11,7,108.13,190.28,1.76,1.46,-0.24,-2.1,-0.12,0.15,-3.65,1.01E-01,2.26E-04,Soluble,-5.06,3.89E-03,8.67E-06,Moderately soluble,-2.1,3.55E+00,7.91E-03,Soluble,Low,No,Yes,No,No,No,No,No,-8,2,0,1,1,3,0.17,1,1,1,5.17
F. muell,Colchicine,COc1c(OC)cc2c(c1OC)c1ccc(c(=O)cc1[C@H](CC2)NC(=O)C)OC,C17H19NO3,399.44,29,13,0.36,6,6,1,109.36,83.09,3.28,1.03,2.55,1.02,3.9,2.36,-2.9,5.02E-01,1.26E-03,Soluble,-2.36,1.72E+00,4.32E-03,Soluble,-6.66,8.76E-05,2.19E-07,Poorly soluble,High,No,Yes,No,No,No,Yes,Yes,-8.01,0,0,0,0,0,0.55,0,0,1,3.87
F. muell,Coclaurine,COc1cc2CCN[C@H](c2cc1O)Cc1ccc(cc1)O,C7H13NO5,285.34,21,12,0.29,3,4,3,85.62,61.72,2.6,2.58,1.83,1.84,2.94,2.36,-3.46,9.91E-02,3.47E-04,Soluble,-3.52,8.53E-02,2.99E-04,Soluble,-4.94,3.25E-03,1.14E-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-6.21,0,0,0,0,0,0.55,0,0,0,2.78
